Client,SubclientName,BIN,IMEI,Mobile,sim_card_number
Reliance Retail,RR-Piaggio,M10373452150266D,352835105534781,5753250072827,89918740107060150328
Reliance Retail,RR-Piaggio,M10369572140203D,352835105533114,5753250037969,89918740107060147589
Reliance Retail,RR-Piaggio,M10373452150237D,352835105425881,5753250072409,89918740107060117459
Reliance Retail,RR-Piaggio,M10373452150273D,352835105514304,5753250072841,89918740107060150468
Reliance Retail,RR-Piaggio,M10373452150328D,352835105543592,5753250072361,89918740107060116972
Reliance Retail,RR-Piaggio,M10373452150424D,352835105522075,5753250072324,89918740107060116600
Reliance Retail,RR-Piaggio,M10377982160032D,352835105541190,5753250072497,89918740107060118333
Reliance Retail,RR-Piaggio,M10369572140238D,352835105535085,5753250037856,89918740107060150096
Reliance Retail,RR-Reliance Retail ,M10415592230100V,350911040769410,5753200034306,89918720507060007465
Reliance Retail,RR-Reliance Retail ,M10415592230091V,350911040787362,5753200034259,89918720507060006996
Reliance Retail,RR-Reliance Retail ,M10415592230082V,350911040776480,5753200035534,89918720507060036241
Reliance Retail,RR-Reliance Retail ,M10415592230072V,350911040776456,5753200035893,89918720507060039831
Reliance Retail,RR-Reliance Retail ,M10415592230066V,350911040782280,5753200035548,89918720507060036381
Reliance Retail,RR-Reliance Retail ,M10415592230050V,350911040786604,5753200035371,89918720507060019619
Reliance Retail,RR-Reliance Retail ,M10415592230044V,350911040768883,5753200035126,89918720507060017167
Reliance Retail,RR-Reliance Retail ,M10415592230015V,350911040794939,5753200035253,89918720507060018439
Reliance Retail,RR-Reliance Retail ,M10415592230043V,350911040786018,5753200034970,89918720507060015609
Reliance Retail,RR-Reliance Retail ,M10415592230022V,350911040779047,5753200035366,89918720507060019569
Reliance Retail,RR-Reliance Retail ,M10415592230023V,350911040768891,5753200035368,89918720507060019585
Reliance Retail,RR-Reliance Retail ,M10415592230024V,350911040785655,5753200035160,89918720507060017506
Reliance Retail,RR-Reliance Retail ,M10415592230014V,350911040780375,5753200035353,89918720507060019437
Reliance Retail,RR-Reliance Retail ,M10412262220302V,354033097344900,5753200035334,89918720507060019247
Reliance Retail,RR-Reliance Retail ,M10415592230090V,350911040794699,5753200034408,89918720507060008489
Reliance Retail,RR-Reliance Retail ,M10415592230093V,350911040787016,5753200034468,89918720507060009081
Reliance Retail,RR-Reliance Retail ,M10415592230079V,350911040786810,5753200035533,89918720507060036233
Reliance Retail,RR-Reliance Retail ,M10415592230074V,350911040778437,5753200034705,89918720507060012952
Reliance Retail,RR-Reliance Retail ,M10415592230062V,350911040776514,5753200035531,89918720507060036217
Reliance Retail,RR-Reliance Retail ,M10415592230057V,350911040773735,5753200035350,89918720507060019403
Reliance Retail,RR-Reliance Retail ,M10415592230055V,350911040772836,5753200034962,89918720507060015526
Reliance Retail,RR-Reliance Retail ,M10415592230045V,350911040786166,5753200035354,89918720507060019445
Reliance Retail,RR-Reliance Retail ,M10415592230035V,350911040785796,5753200034981,89918720507060015716
Reliance Retail,RR-Reliance Retail ,M10415592230013V,350911040779153,5753200035316,89918720507060019064
Reliance Retail,RR-Reliance Retail ,M10415592230036V,350911040786323,5753200035384,89918720507060019742
Reliance Retail,RR-Reliance Retail ,M10415592230012V,350911040755971,5753200035287,89918720507060018777
Reliance Retail,RR-Reliance Retail ,M10412262220324V,354033097252921,5753200035202,89918720507060017928
Reliance Retail,RR-Reliance Retail ,M10412262220259V,354033097248168,5753200035326,89918720507060019163
Reliance Retail,RR-Reliance Retail ,M10415592230098V,350911040795183,5753200034356,89918720507060007960
Reliance Retail,RR-Reliance Retail ,M10415592230089V,350911040789327,5753200034106,89918720507060005469
Reliance Retail,RR-Reliance Retail ,M10415592230080V,350911040795076,5753200035693,89918720507060037835
Reliance Retail,RR-Reliance Retail ,M10415592230071V,350911040786513,5753200034698,89918720507060012887
Reliance Retail,RR-Reliance Retail ,M10415592230061V,350911040776563,5753200035530,89918720507060036209
Reliance Retail,RR-Reliance Retail ,M10415592230060V,350911040786562,5753200035319,89918720507060019098
Reliance Retail,RR-Reliance Retail ,M10415592230005V,350911040786422,5753200034971,89918720507060015617
Reliance Retail,RR-Reliance Retail ,M10415592230020V,350911040786349,5753200035252,89918720507060018421
Reliance Retail,RR-Reliance Retail ,M10415592230038V,350911040759122,5753200034951,89918720507060015419
Reliance Retail,RR-Reliance Retail ,M10415592230037V,350911040779179,5753200035192,89918720507060017829
